IPID,TTL,SRCIP,DSTIP,SPORT,DPORT,TSEQ,WINDS
64754,51,1566846640,3390658035,50129,2323,3390658035,54857
61036,54,3180931567,3390657840,9137,2323,3390657840,61677
28507,52,247187674,3390656944,50087,2323,3390656944,18556
12132,52,3554778092,3390657424,47374,2323,3390657424,55290
50552,48,3373147653,3390658080,2015,2323,3390658080,6093
36203,54,3151376320,3390658015,13612,2323,3390658015,40959
11483,49,3201786350,3390657528,59206,2323,3390657528,554
60324,48,3142233415,3390657689,3232,2323,3390657689,41020
13929,50,414921676,3390656873,40779,2323,3390656873,43387
24029,53,3553183026,3390658065,34088,2323,3390658065,40496
106,53,1873765104,3390657730,38678,2323,3390657730,32739
33792,49,3005291966,3390657767,55502,2323,3390657767,51934
34655,45,1447820922,3390658140,14687,2323,3390658140,18223
23319,51,1953377882,3390658452,4411,2323,3390658452,49034
4935,51,3125777974,3390656836,8831,2323,3390656836,12909
34151,48,2794142652,3390656751,14007,2323,3390656751,10306
29583,48,1546815918,3390656926,48432,2323,3390656926,39251
54699,52,3125794653,3390657757,47534,2323,3390657757,43452
10328,51,1952953429,3390657469,49064,2323,3390657469,15047
24952,51,3193236333,3390657468,61639,2323,3390657468,16652
44903,51,3731065595,3390658529,18289,2323,3390658529,14593
18854,49,704490601,3390656735,18422,2323,3390656735,22500
15275,45,97016861,3390658096,15813,2323,3390658096,11735
12461,46,2975918052,3390658170,22404,2323,3390658170,17812
29825,50,245514517,3390657832,37898,2323,3390657832,8766
2375,52,3072118400,3390658555,34003,2323,3390658555,1801
31786,55,3036565599,3390657497,57268,2323,3390657497,63479
15357,50,2064651289,3390658087,42440,2323,3390658087,49312
56419,53,1867128600,3390656985,55678,2323,3390656985,49766
22888,53,246460100,3390656628,55693,2323,3390656628,22921
16135,51,3134123478,3390656905,25610,2323,3390656905,33778
17724,46,3387409985,3390657678,35563,2323,3390657678,23392
26630,46,2561396237,3390658208,45854,2323,3390658208,40502
29525,56,3680290265,3390656739,59032,2323,3390656739,63114
30894,52,1446631681,3390658136,8235,2323,3390658136,12859
50572,50,1450987515,3390657773,29490,2323,3390657773,34522
50979,51,3199917451,3390657696,48355,2323,3390657696,4955
11752,51,2883589556,3390657342,14943,2323,3390657342,10441
56873,47,3135863502,3390657701,31643,2323,3390657701,52655
60418,52,2103238077,3390656604,47049,2323,3390656604,54770
20817,48,3384290013,3390656778,28757,2323,3390656778,20333
34909,51,3018581343,3390657386,51936,2323,3390657386,64720
31786,55,3036565599,3390657497,57268,2323,3390657497,63479
54754,56,609462826,3390658167,24695,2323,3390658167,29287
1495,49,3377681994,3390657015,21941,2323,3390657015,25477
20210,53,609761746,3390658115,60883,2323,3390658115,65475
54119,46,3065988364,3390658427,1248,2323,3390658427,63421
24660,49,1494817734,3390658539,57315,2323,3390658539,59859
52707,48,1608335838,3390656904,10542,2323,3390656904,14652
8409,52,458058110,3390656990,57697,2323,3390656990,9542
13020,51,1380803640,3390658036,39252,2323,3390658036,44900
7472,48,784623074,3390657850,18437,2323,3390657850,36860
21111,51,244617138,3390658533,23027,2323,3390658533,38345
64694,48,1136356401,3390656794,11325,2323,3390656794,34542
22372,49,1445148868,3390656901,39407,2323,3390656901,5916
2187,51,3260599653,3390656595,41801,2323,3390656595,61522
42968,43,3199633118,3390658138,47196,2323,3390658138,36460
60882,49,3695562921,3390658258,4611,2323,3390658258,19
36158,56,609198786,3390656981,10379,2323,3390656981,1443
31786,55,3036565599,3390657497,57268,2323,3390657497,63479
42129,46,2875563382,3390656537,51710,2323,3390656537,25389
59239,51,3198941830,3390656793,24780,2323,3390656793,7868
43591,47,2996824166,3390657937,19513,2323,3390657937,24105
63797,52,1375218071,3390657402,2679,2323,3390657402,48393
23619,50,1330457971,3390657896,22891,2323,3390657896,1320
25126,52,455720651,3390657533,5185,2323,3390657533,24280
43949,55,2036451546,3390658000,59257,2323,3390658000,36636
36203,54,3151376320,3390658015,13612,2323,3390658015,40959
36203,54,3151376320,3390658015,13612,2323,3390658015,40959
2187,51,3260599653,3390656595,41801,2323,3390656595,61522
43486,46,3200222986,3390657862,43915,2323,3390657862,15191
39233,53,3751697207,3390656920,50225,2323,3390656920,61953
57293,50,2064673925,3390656979,21423,2323,3390656979,46661
20670,50,624251294,3390658549,8773,2323,3390658549,7410
43046,51,1907279586,3390657481,49418,2323,3390657481,41225
20776,52,1934265037,3390658543,36515,2323,3390658543,33054
22070,52,3173196397,3390658203,4922,2323,3390658203,298
11838,54,3186707706,3390658473,59734,2323,3390658473,17712
2126,50,1310370486,3390656736,35440,2323,3390656736,10076
3935,53,1962716536,3390658508,20025,2323,3390658508,12361
20702,53,988999742,3390658359,21446,2323,3390658359,792
45992,51,712030916,3390657940,37250,2323,3390657940,5753
552,50,1976994269,3390658253,8150,2323,3390658253,12256
22609,44,1293791109,3390658282,2835,2323,3390658282,28465
28566,49,3372524581,3390657515,11104,2323,3390657515,20043
52090,51,1963148398,3390657486,22575,2323,3390657486,16339
12764,49,3140005725,3390657698,64970,2323,3390657698,26326
49818,53,989031500,3390658141,54430,2323,3390658141,51949
11240,52,1906397406,3390656919,25571,2323,3390656919,52497
21111,51,244617138,3390658533,42589,2323,3390658533,38345
7836,49,1503251959,3390658467,33940,2323,3390658467,38532
31786,55,3036565599,3390657497,57268,2323,3390657497,63479
25644,44,3065994299,3390656719,28426,2323,3390656719,8703
22846,51,247032014,3390658330,26728,2323,3390658330,40320
60882,49,3695562921,3390658258,4611,2323,3390658258,19
29353,51,1891216079,3390658352,42154,2323,3390658352,35202
17377,46,2977801276,3390656927,16633,2323,3390656927,792
63357,52,2062722031,3390657313,49173,2323,3390657313,50848
50386,46,46137733,3390657416,4659,2323,3390657416,46537
43042,50,1394253287,3390658233,8991,2323,3390658233,32964
24337,53,2943805751,3390657723,3648,2323,561780816,5840
18608,51,1566846640,3390658035,3847,2323,1065628359,5840
8866,52,3554778092,3390657424,46513,2323,871684665,14600
17937,54,3151376320,3390658015,42468,2323,897657516,14600
38518,49,3201786350,3390657528,41574,2323,1396550300,14600
19617,53,1873765104,3390657730,37425,2323,1955163985,5704
55518,51,1953377882,3390658452,48599,2323,488681041,14600
64991,48,3373147653,3390658080,3762,2323,1995249370,5808
57309,51,3125777974,3390656836,59652,2323,2553829531,5760
19782,48,2794142652,3390656751,33760,2323,1915701199,14600
22090,50,414921676,3390656873,32922,2323,1154990863,4380
20749,52,3125794653,3390657757,42988,2323,1083290325,5808
387,49,704490601,3390656735,60344,2323,671907732,5440
60225,49,245514517,3390657832,45077,2323,1148433385,14600
49247,53,246460100,3390656628,39879,2323,3850717486,14600
40866,46,2561396237,3390658208,4283,2323,3911191133,5840
57182,56,3680290265,3390656739,34775,2323,2099613880,5808
39524,50,1450987515,3390657773,58007,2323,1932653448,14600
32921,51,2883589556,3390657342,50182,2323,720805833,14600
42166,46,3387409985,3390657678,52445,2323,2793925668,14600
12765,52,1446631681,3390658136,48771,2323,1649480563,5808
52408,48,1608335838,3390656904,43819,2323,2747942089,5808
23508,51,1380803640,3390658036,3663,2323,1619240341,5808
305,48,1136356401,3390656794,50389,2323,1767312501,14600
65388,49,1445148868,3390656901,47081,2323,1975730286,5840
17035,49,3695562921,3390658258,41314,2323,2830833469,5840
55565,46,3065988364,3390658427,57749,2323,2599121086,14600
12601,48,784623074,3390657850,37373,2323,757552557,4380
7436,51,3198941830,3390656793,60720,2323,3099879032,4380
14352,52,1375218071,3390657402,35238,2323,4037351915,14600
50236,47,2996824166,3390657937,36448,2323,3407477695,5840
17305,54,3151376320,3390658015,42556,2323,1010316978,14600
40848,54,3151376320,3390658015,42560,2323,583395847,14600
1815,49,2064673925,3390656979,39439,2323,470423973,14600
25796,50,624251294,3390658549,50405,2323,920140402,5840
20721,51,1907279586,3390657481,60313,2323,2960196680,14600
3617,52,1934265037,3390658543,49711,2323,1508117658,14600
38168,54,3186707706,3390658473,46163,2323,667662629,14600
54730,52,712030916,3390657940,53883,2323,979801139,14600
30366,44,1293791109,3390658282,50619,2323,2097734637,14600
20841,53,989031500,3390658141,41943,2323,2835970698,14600
10807,49,3140005725,3390657698,53669,2323,2087870655,14600
57903,51,244617138,3390658533,33523,2323,3796360872,14600
53175,49,1503251959,3390658467,46284,2323,3936978747,5840
49516,49,3695562921,3390658258,60423,2323,3072236215,5840
24620,51,1891216079,3390658352,48304,2323,4004034537,5840
54833,44,3065994299,3390656719,58257,2323,3682544796,14600
25924,46,46137733,3390657416,59876,2323,3825153322,14000
12071,51,1953381019,3390656564,46758,2323,385607357,14600
19231,52,3554186483,3390658248,38193,2323,3209288133,14600
34160,49,1598899262,3390656579,48560,2323,28157108,14600
17293,52,712488708,3390657920,34425,2323,1821932491,14600
